Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Logistic Regression,0.9742108774270566,0.058027079303675046,0.9183673469387755,0.1091570648878108,0.9698631105509169,0.7249139606556327
Decision Tree,0.9834626593167375,0.07884231536926148,0.8061224489795918,0.14363636363636365,0.8949865522320353,0.41143166869493686
Random Forest,0.9989466661985184,0.6484375,0.8469387755102041,0.7345132743362832,0.9800698838905286,0.8361828889061882
